Type,nombreAjouts,temps
ArrayList,100 , 0.029986
ArrayList,1000 , 0.290852
ArrayList,10000 , 4.071863
ArrayList,100000 , 29.692929
LinkedList,100 , 108.495415
LinkedList,1000 , 924.840822
LinkedList,10000 , 9129.822259
LinkedList,100000 , 88265.659615
Array,100 , 0.074488
Array,1000 , 0.671981
Array,10000 , 2.840749
Array,100000 , 22.258361
